,animal,learning phase,hit rate,false alarm rate,go rate
0,BS_40,pre early,57.2462864620893,50.337638946711024,53.91370519445434
1,BS_40,pre late,70.4407531800953,50.51058502611707,60.72979591579367
2,BS_40,pre expert,50.0,0.0,28.30188679245283
3,BS_40,post early,72.59562054571033,78.59560170024585,75.52301554767706
4,BS_40,post late,84.75395027174315,77.20457703216324,81.09124954329558
5,BS_40,post expert,65.50355774493705,23.187717632162077,45.19104084321475
6,BS_41,pre early,84.74562798092211,76.49306892568347,80.70967741935485
7,BS_41,pre late,,,
8,BS_41,pre expert,99.05660377358491,56.37268683385188,78.2035967662102
9,BS_41,post early,32.84313725490196,61.23595505617978,46.07329842931937
10,BS_41,post late,84.73335269255655,83.28574538788962,84.03108493324436
11,BS_41,post expert,98.01980198019803,48.80952380952381,75.67567567567568
12,BS_42,pre early,79.65686274509804,76.03857981548785,77.88333333333334
13,BS_42,pre late,86.39355525021054,55.02034941433393,71.15875805506737
14,BS_42,pre expert,72.16368537123253,22.810405129699795,48.58333333333333
15,BS_42,post early,90.26607310081947,81.58379998609449,86.06161417322834
16,BS_42,post late,93.02155295915445,81.63818111914998,87.47222222222223
17,BS_42,post expert,91.00245212722146,43.7150062470349,67.93358191735244
18,BS_49,pre early,38.202599955984475,34.85325376782357,36.59687948103467
19,BS_49,pre late,63.40189851060686,50.96363828094293,57.55820397271488
20,BS_49,pre expert,79.31893687707641,14.749587231700605,49.21568627450981
21,BS_49,post early,,,
22,BS_49,post late,82.3258998886239,87.00072743755008,84.5179104477612
23,BS_49,post expert,51.61290322580645,3.3333333333333335,27.86885245901639
24,BS_50,pre early,69.78620024630962,67.01226584305877,68.44826457957973
25,BS_50,pre late,83.11595620661907,72.51189225472463,78.15034314348694
26,BS_50,pre expert,90.87643678160919,43.31730769230769,68.21320861925784
27,BS_50,post early,,,
28,BS_50,post late,,,
29,BS_50,post expert,,,
30,BS_51,pre early,75.96600722258486,69.39830499632959,72.8128962410797
31,BS_51,pre late,,,
32,BS_51,pre expert,100.0,43.23979591836735,74.2063492063492
33,BS_51,post early,77.1056766121075,79.22948216477631,78.12842348297262
34,BS_51,post late,83.92197233660649,71.84620836286322,78.235771557873
35,BS_51,post expert,87.28910676768321,36.75019894544033,62.65266991073443
36,BS_56,pre early,56.44004144004143,55.12269403855165,55.798948217035694
37,BS_56,pre late,59.975520195838435,27.333333333333332,45.2906276073051
38,BS_56,pre expert,99.50495049504951,46.93877551020408,73.8851399856425
39,BS_56,post early,77.04908066410266,77.58414280151479,77.30980617388238
40,BS_56,post late,,,
41,BS_56,post expert,85.9170800506361,34.29536344425951,60.91016840991419
42,BS_59,pre early,75.36460649177411,69.9782507379214,72.74703557312253
43,BS_59,pre late,46.2962962962963,6.521739130434782,28.000000000000004
44,BS_59,pre expert,98.41269841269842,45.74930917036181,72.15109314165919
45,BS_59,post early,84.47461629279812,87.74514819741464,86.0318039624609
46,BS_59,post late,96.47280308688076,79.52104810996563,88.33333333333334
47,BS_59,post expert,97.19633307868602,45.355178736506936,71.60679951857992
48,BS_67,pre early,94.5110323619965,91.28741471188805,92.94952482054394
49,BS_67,pre late,,,
50,BS_67,pre expert,93.0803080308031,38.54992319508449,66.79053954827151
51,BS_67,post early,61.65852396389815,80.00280933401226,70.5
52,BS_67,post late,94.79271344277834,93.01078538774232,93.9319958101684
53,BS_67,post expert,88.12859054064688,25.189325640100975,57.80504215816144
54,BS_70,pre early,96.05899959833098,96.55387740678307,96.29759789963165
55,BS_70,pre late,96.7032967032967,67.07317073170732,82.65895953757226
56,BS_70,pre expert,95.13204572329524,17.397186147186147,59.39359267734554
57,BS_70,post early,71.40501819284415,77.92740046838406,74.55732277724908
58,BS_70,post late,76.96240114982298,64.8589450222736,71.06695642681105
59,BS_70,post expert,98.56115107913669,53.333333333333336,77.60617760617761
60,BS_72,pre early,85.09248815700428,83.22439526505404,84.18862815884476
61,BS_72,pre late,,,
62,BS_72,pre expert,98.36547893634508,38.465287206686774,69.62153526841054
63,BS_72,post early,64.70588235294117,72.3404255319149,68.36734693877551
64,BS_72,post late,60.17479472901118,47.85876469896318,54.29626529109117
65,BS_72,post expert,94.26229508196721,35.72510822510823,66.57787679194111
66,BS_87,pre early,57.14285714285714,54.54545454545454,56.00000000000001
67,BS_87,pre late,96.55502977890185,86.18511084755042,91.51724137931035
68,BS_87,pre expert,86.82497589199613,22.414234511008704,55.123192453298586
69,BS_87,post early,73.29948923424472,78.67996756522469,75.89837746767817
70,BS_87,post late,97.39636050393023,91.21264297134424,94.40708554612962
71,BS_87,post expert,97.36842105263158,47.5609756097561,74.21032357473035
72,BS_108,pre early,88.51601392441755,85.84227620718734,87.23262862472762
73,BS_108,pre late,98.53658536585365,81.53846153846153,90.25
74,BS_108,pre expert,99.21875,43.484848484848484,72.5250278086763
75,BS_108,post early,71.27499301979276,80.50672841916497,75.7273513780744
76,BS_108,post late,63.435194819503046,50.63087211744066,57.332025072519365
77,BS_108,post expert,89.28571428571428,27.459935897435898,59.01170600652466
78,DS_15,pre early,75.2120680396754,71.86109977434306,73.61013033648862
79,DS_15,pre late,94.82270931443736,77.3682723371022,86.38071893935943
80,DS_15,pre expert,93.16743383199079,48.244725738396625,71.51217046426628
81,DS_15,post early,74.76411761995496,75.51015875722176,75.1010421081529
82,DS_15,post late,90.64516129032259,76.20689655172413,83.66666666666667
83,DS_15,post expert,85.77669054849396,41.917592094130775,64.71694710793928
84,DS_19,pre early,86.23029257196643,86.80102321355997,86.50944924406048
85,DS_19,pre late,99.61538461538461,97.5,98.6
86,DS_19,pre expert,95.22127144362155,53.028067121691144,74.37657607856521
87,DS_19,post early,58.690209185410644,57.08940809301956,57.90487592612817
88,DS_19,post late,82.71604938271605,61.63793103448276,72.42105263157896
89,DS_19,post expert,96.98376385558093,38.67738102211632,68.42243035872677
